3.185758038585208496e+01,2.192643890675240925e+01,2.525374899436846476e+01,2.007791800643086688e+01
1.871720973782771225e+01,8.651985018726591647e+00,1.157621722846442047e+00,2.588348314606741596e+01
4.352159615384616131e+01,3.790527938342967218e+01,3.877011560693642167e+01,3.159805769230768746e+01
9.467817460317460743e+00,7.262261904761904141e+00,4.232100396301188283e+00,6.263796296296296973e+00
3.078387736699729516e+01,2.721944093778178697e+01,3.526567177637511463e+01,3.518730387736699328e+01
2.900727272727272421e+01,1.807522088353413636e+01,5.818422459893048959e+00,1.847418449197860824e+01
2.165189421894218569e+01,1.729717097170971840e+01,3.090623001230012079e+01,2.913562730627306152e+01
1.900602905569007817e+01,3.947406287787183032e+01,8.835646916565899289e+00,1.725457627118644055e+01
2.654869086908691145e+01,3.303630363036303663e+01,2.755278327832783702e+01,3.661935093509351447e+01
2.118380952380952564e+01,3.451817391304348348e+01,1.421038961038960835e+01,1.330160173160173187e+01
1.617263650546021836e+01,1.697112149532710390e+01,1.262651090342679261e+01,1.894797191887675680e+01
7.140168900804289365e+01,8.796908602150537604e+00,3.275538873994638323e+01,4.720659517426273766e+01
